model,day,mae,rmse,avg_uncertainty
LSTM,Day+1,0.040271,0.060021,
LSTM,Day+2,0.039298,0.058978,
LSTM,Day+3,0.039523,0.059261,
LSTM,Day+4,0.039674,0.059265,
LSTM,Day+5,0.039206,0.059008,
LSTM,Overall,0.039595,0.059308,
Transformer,Day+1,0.042501,0.061532,
Transformer,Day+2,0.042574,0.06167,
Transformer,Day+3,0.042312,0.06155,
Transformer,Day+4,0.042727,0.061899,
Transformer,Day+5,0.04288,0.062001,
Transformer,Overall,0.042599,0.061731,
Autoformer+UQ,Day+1,0.056874,0.074026,0.087965
Autoformer+UQ,Day+2,0.053402,0.071256,0.083663
Autoformer+UQ,Day+3,0.059074,0.076146,0.088425
Autoformer+UQ,Day+4,0.05779,0.074921,0.09026
Autoformer+UQ,Day+5,0.056516,0.073837,0.087057
Autoformer+UQ,Overall,0.056731,0.074055,
